id,name,type,latitude,longitude
1242223985,Sabor e Sonhos,restaurant,-19.9362102,-43.9282755
1242223991,Baiúca,restaurant,-19.9380386,-43.9287344
1242656665,Dragon Center,restaurant,-19.9388228,-43.9388026
1243162904,Restaurante Rossi,restaurant,-19.9272567,-43.9379006
1250523058,2 conto,bar,-19.8780878,-43.9343448
1250523076,Nome não disponível,bar,-19.878296,-43.9344501
1250736494,Boca do Forno,restaurant,-19.9570629,-43.934146
1259995414,Flores Restaurante,restaurant,-19.9428566,-43.9184818
1259995415,Epa,supermarket,-19.9427154,-43.9172051
1262128402,Epa,supermarket,-19.9144809,-43.940886
1263380437,Casa Amarela,restaurant,-19.9297898,-43.9345141
1263380441,Nossa Casa,restaurant,-19.9293816,-43.9346808
1263380444,Roast,restaurant,-19.9304481,-43.9348743
1265071758,Restaurante Sesc,restaurant,-19.9165997,-43.9432148
1268796060,Ponto do Frango,bar,-19.9658558,-43.9822972
1268796116,Bar do Ricardo,bar,-19.9656622,-43.9818828
1268796120,Ximbungo's Bar,bar,-19.9657222,-43.9826989
1268841778,Nome não disponível,bar,-19.9662678,-43.9843085
1291030042,No Átrio,restaurant,-19.9650637,-43.9543269
1299572338,Manjar Light,restaurant,-19.9313599,-43.9348905
1299690714,Butiquim da Carne,bar,-19.9457371,-43.9378351
1310670963,Butiquim Quintiliano,bar,-19.9390281,-43.9451267
1310686057,Ponto do Espetinho 2,bar,-19.9387988,-43.9475387
1314043422,Sabor do Nordeste,restaurant,-19.9393539,-43.9449621
1314142686,Nome não disponível,supermarket,-19.9407303,-43.9125411
1326381374,Sabor e Arte,restaurant,-19.9362025,-43.9245384
1335956365,Super Nosso,supermarket,-19.9600006,-43.9448063
1338487693,Nome não disponível,restaurant,-19.8737528,-43.9679435
1342764155,Epa,supermarket,-19.9216291,-43.9419057
1357306513,Nome não disponível,supermarket,-19.876597,-43.9323138
1357306514,Nome não disponível,supermarket,-19.87694,-43.9339285
1358281249,Chic Tácio,bar,-19.9046139,-43.9384085
1360003573,Cantina Mariana,restaurant,-19.94486,-43.920239
1402772377,Ponto da Picanha 1,restaurant,-19.929252,-43.930909
1404629446,Comida de Fato,restaurant,-19.930634,-43.928208
1448888561,Barracão Butequim,restaurant,-19.9102221,-43.9030408
1449295105,Companhia do Boi,restaurant,-19.9453214,-43.9305151
1449295109,Berga 8,bar,-19.9425379,-43.9324412
1449295110,Dirceu's Botequim,restaurant,-19.9450088,-43.9307138
1449295111,O Inusitado,bar,-19.9454828,-43.9418235
1449295113,Via Cristina,bar,-19.9458055,-43.9412442
1449295115,Café do Carmo,bar,-19.9457652,-43.9306226
1449295118,Peixe Boi,bar,-19.9465771,-43.9308587
1449295120,Pizzarela,restaurant,-19.9463887,-43.9497544
1449295122,Almanaque,bar,-19.9455282,-43.9305636
1449295124,Espetinho da Esquina,bar,-19.9390987,-43.9318779
1453700008,Petiskaldos,restaurant,-19.9161652,-43.9169748
1455655027,Too Much,restaurant,-19.9269111,-43.9286064
1462031750,Faculdade do Espeto,bar,-19.9025363,-43.9651686
1479301786,La Traviata,restaurant,-19.9375196,-43.9357229
1480114793,Peixe Boi,restaurant,-19.9524492,-43.9266653
1480169964,Assacabrasa Lourdes,restaurant,-19.9335396,-43.9424232
1480470871,Choperia Status Grill,restaurant,-19.9372019,-43.934619
1480484775,Fábbrica Sphaguetteria,restaurant,-19.9343332,-43.9451616
1481198070,Sabor e Saúde,restaurant,-19.9270732,-43.9368018
1481208714,Chapa do Chef,restaurant,-19.9411557,-43.9403474
1481256147,Espetinho do Luizinho,bar,-19.9240476,-43.9591016
1487801756,Bangkok Royal Thai Cuisine,restaurant,-19.9373792,-43.9446851
1491567946,Vila Gaia,restaurant,-19.9270841,-43.9278932
1497511227,Paiol Grill,restaurant,-19.92738,-43.9265679
1503585732,Super Nosso,supermarket,-19.8916533,-43.9281006
1503600616,Bela Casa,restaurant,-19.816355,-43.9727601
1504619363,Bar do Galo,bar,-19.8621087,-43.9712119
1505095153,Baiana do Acarajé,restaurant,-19.9384347,-43.9347767
1505095154,Orizontino,bar,-19.9384877,-43.9345192
1505096899,Apetite Bar & Restaurante,bar,-19.9176807,-43.9360079
1505268194,Origem,restaurant,-19.9265361,-43.9269265
1507230841,Surubim no Espeto,restaurant,-19.9339706,-43.9422597
1507230844,Nome não disponível,restaurant,-19.933895,-43.9425601
1507233673,Prato Chick e Tábua de Frios,restaurant,-19.9341145,-43.9530625
1507233679,Bar /Restaurante,restaurant,-19.9337897,-43.9524194
1507495539,Social,bar,-19.9352364,-43.929325
1507952469,Bar do John,bar,-19.9443037,-43.9316319
1511455581,Balaio de Gato,bar,-19.9261134,-43.9462549
1514347581,Bar do Mandruva,bar,-19.9411872,-43.9489722
1514415007,Pizza Uno,restaurant,-19.9394626,-43.9343806
1514495024,Tokushima,restaurant,-19.9295378,-43.944525
1515490139,Restaurante 606,restaurant,-19.9267164,-43.9255862
1520492090,Chxico do Churrasco,restaurant,-19.9290148,-43.9415489
1523690513,Krug Bier,bar,-19.9420157,-43.9361456
1524484370,Glassê,restaurant,-19.9284178,-43.9264511
1529991291,Adega do Sul,restaurant,-19.9313377,-43.956307
1558494894,Fazendinha,restaurant,-19.8601798,-43.9502443
1567120157,Empório Sírio Libanês,restaurant,-19.9153071,-43.9280104
1569200697,Guga's bar,bar,-19.9204055,-43.9437659
1570381231,Carrefour,supermarket,-19.9222473,-43.9406047
1570381233,Rampa,restaurant,-19.9212941,-43.9410392
1571405980,Nome não disponível,bar,-19.923755,-43.940009
1579712707,Bem Natural,restaurant,-19.9351491,-43.935948
1582698281,Super Nosso,supermarket,-19.8916255,-43.9965225
1583687134,Buona Tavola,restaurant,-19.9340896,-43.9356588
1583687136,Mandala,restaurant,-19.9347604,-43.9361363
1584761526,Bar Liberdade,bar,-19.9331507,-43.9369708
1584761527,Nome não disponível,restaurant,-19.9333078,-43.9356799
1587113850,Pomar e Horta,restaurant,-19.92795,-43.9273815
1588432585,Quase Nada,restaurant,-19.942485,-43.9191051
1588432586,Bar e Mercearia da Serra,restaurant,-19.9438011,-43.9200653
1588618780,Mamma's Pizza,restaurant,-19.9103995,-43.978582
1594729188,Nome não disponível,bar,-19.9392347,-43.9188395
1602207787,K-Bab,restaurant,-19.9331986,-43.9295802
1610351078,Churrasquinho do Buritis,bar,-19.9703723,-43.96559
1611877501,Mirante,supermarket,-19.9250617,-44.0009156
1614268620,Cozinha da Jane,restaurant,-19.9278416,-43.9248198
1614336812,Cuca de Anjo II,restaurant,-19.9273641,-43.9282731
1614340602,Nome não disponível,bar,-19.9290986,-43.9293161
1621808311,Verdemar Hortifruti,supermarket,-19.94636,-43.9390687
1621808314,Verdemar Padaria,supermarket,-19.9461532,-43.9391545
1621808320,Espetinho São Pedro,bar,-19.9452609,-43.9389611
1621808321,Bicho Papão,restaurant,-19.9453241,-43.9387732
1654208446,Emporium Mineiro,restaurant,-19.9455408,-43.9224355
1668656090,Esquinão do Carrpicho,bar,-19.9073401,-43.9578833
1673981118,Restaurante da Regina,restaurant,-19.9027906,-43.969674
1683189523,Ivanilde,restaurant,-19.9760499,-43.945758
1683189559,Nome não disponível,restaurant,-19.975828,-43.9450709
1683189562,Nome não disponível,restaurant,-19.9758993,-43.945328
1683189565,Nome não disponível,restaurant,-19.9760023,-43.9455725
1684863172,Baby Grill,restaurant,-19.9313429,-43.9667733
1700966309,Churrasco do Carlinhos,restaurant,-19.9057807,-43.9689261
1707915609,Deck,bar,-19.9052067,-43.9718817
1707915611,Esquina do churrasco,restaurant,-19.8999586,-43.9681894
1710040516,Supermercado BH,supermarket,-19.895986,-43.9605012
1710086691,Churrasquinho do Divino,bar,-19.8947684,-43.9599465
1719398379,Ouro Beer,bar,-19.8744732,-43.9901066
1719827745,Bar do Antônio,bar,-19.948503,-43.9338936
1723315293,Mulão,bar,-19.9090992,-43.9683517
1723323991,222,bar,-19.9456523,-43.9295759
1723328031,Adega & Churrasco,bar,-19.8774492,-43.9348736
1723329259,Agosto Butequim,bar,-19.9255897,-43.9616199
1723331976,Ali Ba Bar,bar,-19.9330097,-43.9545872
1723336270,Autentico's Bar,bar,-19.9669788,-43.9606544
1723344153,Bar da Cida,bar,-19.8386614,-43.9301994
1723353536,Pedacinhos do Céu,bar,-19.9063179,-43.9722832
1724796042,Bar do João,bar,-19.826876,-43.9647772
1726093849,Bar do Zezé,bar,-19.980685,-44.0128009
1726095198,Barção Moreira,bar,-19.8519534,-43.912707
1733445823,Bar e Cervejaria Brasil,bar,-19.9317742,-43.9256463
1733445824,Pichita Lanna,restaurant,-19.9320972,-43.9257474
1733449843,Pé de Amora,restaurant,-19.9322082,-43.9254738
1742911175,Buffet Bhagwan,restaurant,-19.9053416,-43.9242607
1742915291,Epa,supermarket,-19.9057826,-43.9244467
1743118595,Arigato,restaurant,-19.9052175,-43.9720299
1743759769,Tôatôa Butequeria,bar,-19.9015614,-43.9708563
1744885800,Aromi Restaurante,restaurant,-19.9383356,-43.9268462
1746160774,Cassis,restaurant,-19.9457663,-43.9203102
1746161760,No Arco da Lapa,restaurant,-19.9463177,-43.9204092
1746773549,Família Adams,bar,-19.928784,-43.9314757
1746775793,Chinna Food,restaurant,-19.9259749,-43.9353059
1748284564,Bar da Tiana,restaurant,-19.9018363,-43.9750257
1755016217,Gratinatti,restaurant,-19.9289547,-43.9309267
1755061937,BombShell,restaurant,-19.9388702,-43.9383734
1755069039,NKL,restaurant,-19.9270313,-43.938205
1763631730,Mercearia LIli,restaurant,-19.9463626,-43.9416287
1768240615,Patorroco,bar,-19.9264996,-43.9662255
1784861400,Albrunas Restaurante,restaurant,-19.9263441,-43.9246416
1800508583,Oasis distribudora de bebidas,alcohol,-19.903602,-43.9768271
1815177221,Apoio,supermarket,-19.9849013,-44.0349948
1815177242,Villefort,supermarket,-19.9787104,-44.0289652
1819439615,Supermercados BH,supermarket,-19.9897608,-44.0135325
1827055053,Chalé Itália,restaurant,-19.9879804,-44.0088361
1827555317,Supermercado BH,supermarket,-19.9955139,-44.0055905
1828168022,Bar do Cupim,bar,-7.020158,-37.2875367
1828171467,Churrascaria Buena Brasa,restaurant,-7.0141415,-37.2867158
1829326146,Bar do Lú,bar,-19.9781045,-44.0261548
1829954275,Restaurante da EBA,restaurant,-19.8628478,-43.9594914
1831500052,Nome não disponível,restaurant,-19.8558736,-43.9557257
1831973934,Minas Cervejaria,restaurant,-19.9767148,-44.0180588
1831977226,Chxico do Churrasco,restaurant,-19.9772815,-44.0208029
1831995414,Celeiro de Minas,restaurant,-19.9776525,-44.0240884
1832172662,Bar do Lú - Peixes,restaurant,-19.9769694,-44.0207793
1833445365,Bar do Nono,bar,-19.9426364,-43.9322828
1838986018,Barolo,restaurant,-7.0201291,-37.2813108
1841407458,Big Nic,restaurant,-19.9391593,-43.9331351
1841419730,Supermercado B2,supermarket,-19.9228208,-44.0055282
1842706383,Mamãe Bebidas,alcohol,-19.9593121,-43.9377002
1843302054,Supermercado BH,supermarket,-19.878407,-43.992836
1849662587,Casa Antiga,bar,-19.9269714,-43.9406726
1853010608,Barezinho Butequim,bar,-19.9460098,-43.9286452
1853025732,Chxico do Churrasco,bar,-19.9461447,-43.9284313
1853029064,Pinguim,restaurant,-19.941032,-43.9319618
1853215229,Supermercado BH,supermarket,-19.9862891,-44.0164058
1857891039,Ponto dos Amigos,bar,-19.9308139,-43.9339272
1857891057,Home Burger,restaurant,-19.9306419,-43.9339294
1860937823,WallMart,supermarket,-19.8410577,-43.9511908
1934230105,Panelão,supermarket,-19.9664086,-43.981482
1937444133,Sakanã Sushi,restaurant,-19.937769,-43.9443694
1946185227,Casa Mineira,restaurant,-19.927818,-43.93042
1967353773,CIA do Boi,restaurant,-19.8764212,-43.990646
1967361235,Restaurante Bom Prato,restaurant,-19.8682685,-44.0003744
1967374681,Espeto do Manoel III,bar,-19.8788654,-43.9928427
1967488203,EPA Plus,supermarket,-19.9516153,-43.9277651
1997268269,Pizzaria Mangabeiras,restaurant,-19.9784278,-44.0260953
2086372238,Nome não disponível,supermarket,-19.9299081,-43.9797193
2093788402,Supermercado BH,supermarket,-19.7999586,-43.9523773
2095567709,Cantinho do Sabor,restaurant,-19.921815,-43.9207941
2137173259,Yan Shan Zay,restaurant,-19.9374457,-43.9346327
2162852888,Mascate,bar,-19.9157084,-43.9277496
2168311428,BarBambu,bar,-19.9454753,-43.9818786
2210701219,Supermercado BH,supermarket,-19.9083974,-43.8925013
2280817426,petisquera do jacaré,alcohol,-19.8378565,-43.9951557
2291788905,Sabor Real,bar,-19.8887402,-43.9237669
2295109197,EPA,supermarket,-19.8889049,-43.9303619
2296585937,Chalé Mineiro,restaurant,-19.9368845,-43.9697944
2296585938,Lobo's Grill,restaurant,-19.9363736,-43.9701656
2296585940,Tropeiro da Lili,restaurant,-19.9354746,-43.9711446
2311902994,La Palma,restaurant,-19.855765,-43.9570401
2328436370,Pizza Sur,restaurant,-19.9374149,-43.9396616
2328436376,Nome não disponível,restaurant,-19.9361039,-43.9392716
2344555343,EPA 2,supermarket,-19.8036559,-43.9790382
2353967320,Nome não disponível,restaurant,-19.9342701,-43.9305954
2363318977,Bar do Jesu,bar,-19.8018729,-43.9934044
2363395135,Bistecão,restaurant,-19.9131358,-43.9718409
2390229338,Pizzaria Parola,restaurant,-19.9884935,-44.0105117
2392313821,Braseiro Grill,restaurant,-19.9894556,-44.0114984
2435336646,Boi Bento,bar,-19.9621626,-43.9501065
2441692828,Serjão,restaurant,-19.9357135,-43.933303
2451010713,D'Gust Burguer,bar,-19.8244541,-43.9358862
2456912482,Nome não disponível,restaurant,-19.7934011,-43.9806039
2460350182,Nome não disponível,restaurant,-19.7937925,-43.9788563
2482160825,Namastê,restaurant,-19.9257772,-43.9592389
2497121179,Supermercados BH,supermarket,-20.0005599,-44.0082212
2506432946,Cantina Vovó Olímpia,restaurant,-19.9034385,-43.9658499
2521471006,Sushi Sam,restaurant,-19.9053396,-43.9772891
2564780778,Cantina Alquimia do Sabor,restaurant,-19.8576725,-43.9199177
2590623208,Ochi Sushi,restaurant,-19.8668193,-43.9845323
2616449737,Espetinho do Eugênio,restaurant,-19.9307113,-43.9337319
2626539376,Sacolão Serra Verde,supermarket,-19.9379815,-43.9207447
2683505327,Supermercado BH,supermarket,-19.9350051,-44.0206146
2684472492,Verdemar,restaurant,-19.964117,-43.9557672
2710039448,Nome não disponível,bar,-19.9214916,-43.9957582
2710039460,Nome não disponível,restaurant,-19.9214614,-43.9960852
2710039464,Nome não disponível,bar,-19.9203518,-43.9968552
2723795119,Cia do Peixe,restaurant,-19.9336118,-44.0169407
2723795122,Amarelim,bar,-19.9330851,-44.0166721
2760025504,Restaurante Popular Venda Nova,restaurant,-19.8093383,-43.9692615
2791792202,Noa Noa,bar,-19.9243533,-43.9216808
2791792262,Rei do Omelete,bar,-19.9242827,-43.921595
2791792327,Granfinos,bar,-19.924865,-43.9232067
2848610581,Epa Supermercados,supermarket,-19.9262492,-43.918509
2848615807,Supermercado Guarani,supermarket,-19.9246152,-43.9085419
2849415098,Supermercado BH,supermarket,-19.9185491,-43.9103934
2849422009,Paracone,restaurant,-19.9161131,-43.9053937
2868708241,Alho Poró,restaurant,-19.9396714,-43.9770104
2868712430,Supermercados BH,supermarket,-19.9399841,-43.9777588
2958454833,Nome não disponível,restaurant,-19.9048759,-43.9595289
2988477304,Carrefour,supermarket,-19.9394014,-43.9480429
3010513661,Mickey Caldo de Mocotó,bar,-19.9207473,-43.9421087
3031037940,Ponto do Lanche,restaurant,-19.8136084,-43.9393175
3039535505,Churrascaria dos Pampas,restaurant,-14.204785,-42.7592681
3043549875,Cantina da Naná,restaurant,-19.9375034,-43.9470611
3043565634,Peixinho,restaurant,-19.936192,-43.9469058
3043565639,Vatel,restaurant,-19.9359752,-43.9468199
3084962102,DuCarmo Self Service,restaurant,-19.923854,-43.9507798
3102803893,Vila Floriano,restaurant,-19.9235117,-43.918907
3120938522,Kero Kero,restaurant,-19.9191385,-43.9748357
3202482810,Spoleto,restaurant,-19.8640664,-43.9706431
3202482814,Braga Pão de Queijo,restaurant,-19.8674942,-43.9713003
3202482819,Scudetto,restaurant,-19.8621692,-43.9686753
3210069286,Nome não disponível,restaurant,-19.9247931,-43.9299565
