COD_PDV_Origem;COD_PDV_Destino;saving_distancia_km;saving_tempo_min
50;29;37.042;57.88333333333333
14;28;37.04;35.86666666666667
48;5;37.038;52.15
35;45;37.01;43.03333333333333
9;29;36.949;59.483333333333334
42;7;36.932;50.13333333333333
41;5;36.932;50.85
18;27;36.931;43.333333333333336
44;27;36.931;43.016666666666666
37;28;36.929;48.45
7;35;36.925;54.0
20;5;36.924;44.916666666666664
20;45;36.923;44.95
34;27;36.908;40.06666666666667
24;29;36.889;59.96666666666667
22;37;36.763;49.81666666666667
24;36;36.723;60.36666666666667
9;26;36.71;58.06666666666667
7;41;36.664;51.45
11;26;36.663;59.06666666666667
33;2;36.631;59.2
10;2;36.63;59.6
23;7;36.595;48.85
31;28;36.544;51.13333333333333
46;27;36.522;44.8
5;37;36.499;33.15
18;44;36.432;53.65
49;26;36.406;56.28333333333333
5;2;36.371;38.083333333333336
7;50;36.351;49.56666666666667
38;28;36.348;53.13333333333333
4;27;36.254;38.28333333333333
27;36;36.232;63.2
49;29;36.226;58.4
24;26;36.189;57.416666666666664
7;48;36.177;49.63333333333333
24;2;36.134;59.78333333333333
2;45;36.129;40.0
2;5;36.129;40.11666666666667
11;2;36.099;59.5
47;37;36.097;53.95
13;5;36.093;47.06666666666667
7;42;35.985;50.2
18;26;35.962;56.78333333333333
44;26;35.961;56.8
14;36;35.932;42.86666666666667
47;1;35.915;73.51666666666667
28;37;35.87;53.43333333333333
26;37;35.87;53.46666666666667
27;26;35.84;60.266666666666666
27;29;35.798;61.666666666666664
31;18;35.792;51.166666666666664
42;5;35.743;47.2
35;2;35.726;56.166666666666664
36;20;35.717;66.61666666666666
50;45;35.711;39.0
50;5;35.711;38.88333333333333
9;2;35.684;57.13333333333333
2;37;35.658;52.7
20;37;35.658;53.18333333333333
50;37;35.657;52.583333333333336
29;37;35.657;52.95
49;2;35.652;56.55
46;45;35.647;45.016666666666666
31;27;35.541;38.75
33;37;35.535;53.6
1;37;35.535;53.71666666666667
10;37;35.535;53.916666666666664
7;22;35.5;44.416666666666664
17;5;35.486;46.78333333333333
7;17;35.468;46.4
7;23;35.468;46.7
47;20;35.421;64.41666666666667
23;5;35.406;45.983333333333334
35;26;35.406;54.13333333333333
35;36;35.405;53.85
17;28;35.392;49.2
37;2;35.351;52.53333333333333
35;5;35.341;40.36666666666667
28;22;35.335;60.8
36;37;35.328;53.81666666666667
14;26;35.324;39.5
39;31;35.293;52.2
38;36;35.29;59.85
14;29;35.281;40.8
37;36;35.213;51.88333333333333
37;26;35.213;52.21666666666667
37;29;35.212;51.4
35;29;35.199;54.11666666666667
46;7;35.16;44.15
22;5;35.143;35.233333333333334
